Metabolite;metabolite name;metabolite (paper);(metabolite name);adduct;PUBCHEM ID;HMDB ID;Average Molecular Weight;Monisotopic Molecular Weight;KEGG;Pathway;sub-pathway;M/Z;Specimen;function;participantsn(cancer type);stage;number;gender (M TEXT, F);age mean(range) (M / F);smoking status;participantsn(control);number.1;gender (M / F);age mean(range) (M / F).;smoking status.1;Chromatography;Ion source;Positive/Negative mode;Mass analyzer;Identification level;Data processing software;Database search;statistical software;statistical difference method;mean concentration (case);mean  concentration (control);fold change n(case/ control);RAW p-value;FDR;VIP;Classification method;Cutoff value;AUROC (95%CI);Sensitivity (%);Specificity (%);Accuracy (%);Survival analysis method;time cut-offs (<=/>);HR (95%CI);p-value;FDR.1;Country;author-emphasized biomarkers;other information;Pubmed ID;Authors;id;;
1-oleoylglycerophosphoinositol;1-oleoylglycerophosphoinositol;1-oleoylglycerophosphoinositol;*;–;–;–;–;–;–;Lipid;Lysolipid;–;tissue;therapy, diagnosis;squamous cell carcinoma;I, II, III;35;35, 0;68.71 ± 7.46;–;tumor vs. adjacent normal tissue;35;35, 0;68.71 ± 7.46;–;LC, GC;ESI, EI;both;LC: linear ion-trap, GC: single-quadrupole ;LC: MS/MS ;–;KEGG, HMDB;pheatmap 1.0.8, ggplot2 2.2.1, mixOmics 6.3.1, MetaboAnalyztR 0.0.0.9;paired two-sample t-test, PLS-DA;–;–;1,1275691139;0,2331820992;0,2692898917;–;–;–;–;–;–;–;–;–;–;–;–;Spain;–;–;30099851;Moreno et al. 2018;4126;;
hypoxanthine;hypoxanthine;hypoxanthine;–;–;–;HMDB0000157;–;–;–;Nucleotide;Purine metabolism, (hypo)xanthine/inosine containing;–;tissue;therapy, diagnosis;adenocarcinoma;I, II, III;33;24, 9;62.11 ± 9.73;–;tumor vs. adjacent normal tissue;33;24, 9;62.11 ± 9.73;–;LC, GC;ESI, EI;both;LC: linear ion-trap, GC: single-quadrupole ;LC: MS/MS ;–;KEGG, HMDB;pheatmap 1.0.8, ggplot2 2.2.1, mixOmics 6.3.1, MetaboAnalyztR 0.0.0.9;paired two-sample t-test, PLS-DA;–;–;1,1265607475;0,0037266341;0,0079804505;–;–;–;–;–;–;–;–;–;–;–;–;Spain;–;–;30099851;Moreno et al. 2018;4127;;
arabonate;arabonate;arabonate;–;–;–;–;–;–;–;Cofactors and vitamins;Ascorbate and aldarate metabolism;–;tissue;therapy, diagnosis;adenocarcinoma;I, II, III;33;24, 9;62.11 ± 9.73;–;tumor vs. adjacent normal tissue;33;24, 9;62.11 ± 9.73;–;LC, GC;ESI, EI;both;LC: linear ion-trap, GC: single-quadrupole ;LC: MS/MS ;–;KEGG, HMDB;pheatmap 1.0.8, ggplot2 2.2.1, mixOmics 6.3.1, MetaboAnalyztR 0.0.0.9;paired two-sample t-test, PLS-DA;–;–;1,1263302158;0,1308181284;0,1817378429;–;–;–;–;–;–;–;–;–;–;–;–;Spain;–;–;30099851;Moreno et al. 2018;4128;;
biliverdin;biliverdin;biliverdin;–;–;–;–;–;–;–;Cofactors and Vitamins;Hemoglobin and Porphyrin Metabolism;–;tissue;therapy, diagnosis;squamous cell carcinoma;I, II, III;35;35, 0;68.71 ± 7.46;–;tumor vs. adjacent normal tissue;35;35, 0;68.71 ± 7.46;–;LC, GC;ESI, EI;both;LC: linear ion-trap, GC: single-quadrupole ;LC: MS/MS ;–;KEGG, HMDB;pheatmap 1.0.8, ggplot2 2.2.1, mixOmics 6.3.1, MetaboAnalyztR 0.0.0.9;paired two-sample t-test, PLS-DA;–;–;1,1221841366;0,3138485874;0,3552498904;–;–;–;–;–;–;–;–;–;–;–;–;Spain;–;–;30099851;Moreno et al. 2018;4129;;
pseudo uridine;pseudo uridine;pseudo uridine;–;–;–;–;–;–;–;Nucleotide;Pyrimidine metabolism, uracil containing;–;tissue;therapy, diagnosis;adenocarcinoma;I, II, III;33;24, 9;62.11 ± 9.73;–;tumor vs. adjacent normal tissue;33;24, 9;62.11 ± 9.73;–;LC, GC;ESI, EI;both;LC: linear ion-trap, GC: single-quadrupole ;LC: MS/MS ;–;KEGG, HMDB;pheatmap 1.0.8, ggplot2 2.2.1, mixOmics 6.3.1, MetaboAnalyztR 0.0.0.9;paired two-sample t-test, PLS-DA;–;–;1,1196375898;0,0078814773;0,0158714154;–;–;–;–;–;–;–;–;–;–;–;–;Spain;–;–;30099851;Moreno et al. 2018;4130;;
lathosterol;lathosterol;lathosterol;–;–;–;–;–;–;–;Lipid;Sterol;–;tissue;therapy, diagnosis;squamous cell carcinoma;I, II, III;35;35, 0;68.71 ± 7.46;–;tumor vs. adjacent normal tissue;35;35, 0;68.71 ± 7.46;–;LC, GC;ESI, EI;both;LC: linear ion-trap, GC: single-quadrupole ;LC: MS/MS ;–;KEGG, HMDB;pheatmap 1.0.8, ggplot2 2.2.1, mixOmics 6.3.1, MetaboAnalyztR 0.0.0.9;paired two-sample t-test, PLS-DA;–;–;1,1194021397;0,289675626;0,3302302137;–;–;–;–;–;–;–;–;–;–;–;–;Spain;–;–;30099851;Moreno et al. 2018;4131;;
phosphoglycolate;phosphoglycolate;phosphoglycolate;–;–;–;–;–;–;–;Xenobiotics;Chemical;–;tissue;therapy, diagnosis;adenocarcinoma;I, II, III;33;24, 9;62.11 ± 9.73;–;tumor vs. adjacent normal tissue;33;24, 9;62.11 ± 9.73;–;LC, GC;ESI, EI;both;LC: linear ion-trap, GC: single-quadrupole ;LC: MS/MS ;–;KEGG, HMDB;pheatmap 1.0.8, ggplot2 2.2.1, mixOmics 6.3.1, MetaboAnalyztR 0.0.0.9;paired two-sample t-test, PLS-DA;–;–;1,11811569;0,2876142491;0,3528358511;–;–;–;–;–;–;–;–;–;–;–;–;Spain;–;–;30099851;Moreno et al. 2018;4132;;
symmetric dimethylarginine;symmetric dimethylarginine;symmetric dimethylarginine;(SDMA);–;–;HMDB0003334;–;–;–;Amino Acid;Urea cycle; Arginine and Proline Metabolism;–;tissue;therapy, diagnosis;squamous cell carcinoma;I, II, III;35;35, 0;68.71 ± 7.46;–;tumor vs. adjacent normal tissue;35;35, 0;68.71 ± 7.46;–;LC, GC;ESI, EI;both;LC: linear ion-trap, GC: single-quadrupole ;LC: MS/MS ;–;KEGG, HMDB;pheatmap 1.0.8, ggplot2 2.2.1, mixOmics 6.3.1, MetaboAnalyztR 0.0.0.9;paired two-sample t-test, PLS-DA;–;–;1,1173443532;0,4763847651;0,5165150034;–;–;–;–;–;–;–;–;–;–;–;–;Spain;–;–;30099851;4133;;
N-methyl proline;N-methyl proline;N-methyl proline;–;–;–;–;–;–;–;Amino Acid;Urea cycle; Arginine and Proline Metabolism;–;tissue;therapy, diagnosis;squamous cell carcinoma;I, II, III;35;35, 0;68.71 ± 7.46;–;tumor vs. adjacent normal tissue;35;35, 0;68.71 ± 7.46;–;LC, GC;ESI, EI;both;LC: linear ion-trap, GC: single-quadrupole ;LC: MS/MS ;–;KEGG, HMDB;pheatmap 1.0.8, ggplot2 2.2.1, mixOmics 6.3.1, MetaboAnalyztR 0.0.0.9;paired two-sample t-test, PLS-DA;–;–;1,1171588489;0,001956484;0,0030198728;–;–;–;–;–;–;–;–;–;–;–;–;Spain;–;–;30099851;4134;;
2-oleoylglycerophosphocholine;2-oleoylglycerophosphocholine;2-oleoylglycerophosphocholine;*;–;–;–;–;–;–;Lipid;Lysolipid;–;tissue;therapy, diagnosis;adenocarcinoma;I, II, III;33;24, 9;62.11 ± 9.73;–;tumor vs. adjacent normal tissue;33;24, 9;62.11 ± 9.73;–;LC, GC;ESI, EI;both;LC: linear ion-trap, GC: single-quadrupole ;LC: MS/MS ;–;KEGG, HMDB;pheatmap 1.0.8, ggplot2 2.2.1, mixOmics 6.3.1, MetaboAnalyztR 0.0.0.9;paired two-sample t-test, PLS-DA;–;–;1,1164344395;0,6173911864;0,6643008108;–;–;–;–;–;–;–;–;–;–;–;–;Spain;–;–;30099851;Moreno et al. 2018;4135;;
2-docosahexaenoylglycerophosphoethanolamine;2-docosahexaenoylglycerophosphoethanolamine;2-docosahexaenoylglycerophosphoethanolamine;*;–;–;–;–;–;–;Lipid;Lysolipid;–;tissue;therapy, diagnosis;adenocarcinoma;I, II, III;33;24, 9;62.11 ± 9.73;–;tumor vs. adjacent normal tissue;33;24, 9;62.11 ± 9.73;–;LC, GC;ESI, EI;both;LC: linear ion-trap, GC: single-quadrupole ;LC: MS/MS ;–;KEGG, HMDB;pheatmap 1.0.8, ggplot2 2.2.1, mixOmics 6.3.1, MetaboAnalyztR 0.0.0.9;paired two-sample t-test, PLS-DA;–;–;1,1157007723;0,5859372776;0,6366991705;–;–;–;–;–;–;–;–;–;–;–;–;Spain;–;–;30099851;Moreno et al. 2018;4136;;
2-stearoylglycerophosphoethanolamine;2-stearoylglycerophosphoethanolamine;2-stearoylglycerophosphoethanolamine;*;–;–;–;–;–;–;Lipid;Lysolipid;–;tissue;therapy, diagnosis;squamous cell carcinoma;I, II, III;35;35, 0;68.71 ± 7.46;–;tumor vs. adjacent normal tissue;35;35, 0;68.71 ± 7.46;–;LC, GC;ESI, EI;both;LC: linear ion-trap, GC: single-quadrupole ;LC: MS/MS ;–;KEGG, HMDB;pheatmap 1.0.8, ggplot2 2.2.1, mixOmics 6.3.1, MetaboAnalyztR 0.0.0.9;paired two-sample t-test, PLS-DA;–;–;1,1140992683;0,3114233616;0,3530054582;–;–;–;–;–;–;–;–;–;–;–;–;Spain;–;–;30099851;Moreno et al. 2018;4137;;
1-oleoylglycerophosphoserine;1-oleoylglycerophosphoserine;1-oleoylglycerophosphoserine;–;–;–;–;–;–;–;Lipid;Lysolipid;–;tissue;therapy, diagnosis;squamous cell carcinoma;I, II, III;35;35, 0;68.71 ± 7.46;–;tumor vs. adjacent normal tissue;35;35, 0;68.71 ± 7.46;–;LC, GC;ESI, EI;both;LC: linear ion-trap, GC: single-quadrupole ;LC: MS/MS ;–;KEGG, HMDB;pheatmap 1.0.8, ggplot2 2.2.1, mixOmics 6.3.1, MetaboAnalyztR 0.0.0.9;paired two-sample t-test, PLS-DA;–;–;1,1134465808;0,1764424138;0,2079779117;–;–;–;–;–;–;–;–;–;–;–;–;Spain;–;–;30099851;Moreno et al. 2018;4138;;
prostaglandin A2;prostaglandin A2;prostaglandin A2;–;–;–;–;–;–;–;Lipid;Eicosanoid;–;tissue;therapy, diagnosis;adenocarcinoma;I, II, III;33;24, 9;62.11 ± 9.73;–;tumor vs. adjacent normal tissue;33;24, 9;62.11 ± 9.73;–;LC, GC;ESI, EI;both;LC: linear ion-trap, GC: single-quadrupole ;LC: MS/MS ;–;KEGG, HMDB;pheatmap 1.0.8, ggplot2 2.2.1, mixOmics 6.3.1, MetaboAnalyztR 0.0.0.9;paired two-sample t-test, PLS-DA;–;–;1,113344919;0,0426222691;0,0675493723;–;–;–;–;–;–;–;–;–;–;–;–;Spain;–;–;30099851;Moreno et al. 2018;4139;;
uridine;uridine;uridine;–;–;–;HMDB0000296;–;–;–;Nucleotide;Pyrimidine metabolism, uracil containing;–;tissue;therapy, diagnosis;adenocarcinoma;I, II, III;33;24, 9;62.11 ± 9.73;–;tumor vs. adjacent normal tissue;33;24, 9;62.11 ± 9.73;–;LC, GC;ESI, EI;both;LC: linear ion-trap, GC: single-quadrupole ;LC: MS/MS ;–;KEGG, HMDB;pheatmap 1.0.8, ggplot2 2.2.1, mixOmics 6.3.1, MetaboAnalyztR 0.0.0.9;paired two-sample t-test, PLS-DA;–;–;1,109699813;0,0096183612;0,0189348007;–;–;–;–;–;–;–;–;–;–;–;–;Spain;–;–;30099851;Moreno et al. 2018;4140;;
cysteine sulfinic acid;cysteine sulfinic acid;cysteine sulfinic acid;–;–;–;–;–;–;–;Amino Acid;Methionine, Cysteine, SAM and Taurine Metabolism;–;tissue;therapy, diagnosis;squamous cell carcinoma;I, II, III;35;35, 0;68.71 ± 7.46;–;tumor vs. adjacent normal tissue;35;35, 0;68.71 ± 7.46;–;LC, GC;ESI, EI;both;LC: linear ion-trap, GC: single-quadrupole ;LC: MS/MS ;–;KEGG, HMDB;pheatmap 1.0.8, ggplot2 2.2.1, mixOmics 6.3.1, MetaboAnalyztR 0.0.0.9;paired two-sample t-test, PLS-DA;–;–;1,1093229349;0,4089763235;0,4501560085;–;–;–;–;–;–;–;–;–;–;–;–;Spain;–;–;30099851;Moreno et al. 2018;4141;;
2-arachidonoylglycerophosphoethanolamine;2-arachidonoylglycerophosphoethanolamine;2-arachidonoylglycerophosphoethanolamine;*;–;–;–;–;–;–;Lipid;Lysolipid;–;tissue;therapy, diagnosis;squamous cell carcinoma;I, II, III;35;35, 0;68.71 ± 7.46;–;tumor vs. adjacent normal tissue;35;35, 0;68.71 ± 7.46;–;LC, GC;ESI, EI;both;LC: linear ion-trap, GC: single-quadrupole ;LC: MS/MS ;–;KEGG, HMDB;pheatmap 1.0.8, ggplot2 2.2.1, mixOmics 6.3.1, MetaboAnalyztR 0.0.0.9;paired two-sample t-test, PLS-DA;–;–;1,1044502693;0,1690103772;0,200699823;–;–;–;–;–;–;–;–;–;–;–;–;Spain;–;–;30099851;Moreno et al. 2018;4142;;
methylphosphate;methylphosphate;methylphosphate;–;–;–;–;–;–;–;Nucleotide;Purine and pyrimidine metabolism;–;tissue;therapy, diagnosis;adenocarcinoma;I, II, III;33;24, 9;62.11 ± 9.73;–;tumor vs. adjacent normal tissue;33;24, 9;62.11 ± 9.73;–;LC, GC;ESI, EI;both;LC: linear ion-trap, GC: single-quadrupole ;LC: MS/MS ;–;KEGG, HMDB;pheatmap 1.0.8, ggplot2 2.2.1, mixOmics 6.3.1, MetaboAnalyztR 0.0.0.9;paired two-sample t-test, PLS-DA;–;–;1,1031347867;0,1521387542;0,207219448;–;–;–;–;–;–;–;–;–;–;–;–;Spain;–;–;30099851;Moreno et al. 2018;4143;;
glutamine;glutamine;glutamine;–;–;–;HMDB0000641;–;–;–;Amino acid;Glutamate metabolism;–;tissue;therapy, diagnosis;adenocarcinoma;I, II, III;33;24, 9;62.11 ± 9.73;–;tumor vs. adjacent normal tissue;33;24, 9;62.11 ± 9.73;–;LC, GC;ESI, EI;both;LC: linear ion-trap, GC: single-quadrupole ;LC: MS/MS ;–;KEGG, HMDB;pheatmap 1.0.8, ggplot2 2.2.1, mixOmics 6.3.1, MetaboAnalyztR 0.0.0.9;paired two-sample t-test, PLS-DA;–;–;1,1030497916;0,0272584935;0,0458485771;–;–;–;–;–;–;–;–;–;–;–;–;Spain;–;–;30099851;Moreno et al. 2018;4144;;
caproate;caproate;caproate;(6:0);–;–;–;–;–;–;Lipid;Medium Chain Fatty Acid;–;tissue;therapy, diagnosis;squamous cell carcinoma;I, II, III;35;35, 0;68.71 ± 7.46;–;tumor vs. adjacent normal tissue;35;35, 0;68.71 ± 7.46;–;LC, GC;ESI, EI;both;LC: linear ion-trap, GC: single-quadrupole ;LC: MS/MS ;–;KEGG, HMDB;pheatmap 1.0.8, ggplot2 2.2.1, mixOmics 6.3.1, MetaboAnalyztR 0.0.0.9;paired two-sample t-test, PLS-DA;–;–;1,1016673851;0,0163473098;0,0222994072;–;–;–;–;–;–;–;–;–;–;–;–;Spain;–;–;30099851;Moreno et al. 2018;4145;;
tyrosylglutamate;tyrosylglutamate;tyrosylglutamate;–;–;–;–;–;–;–;Peptide;Dipeptide;–;tissue;therapy, diagnosis;adenocarcinoma;I, II, III;33;24, 9;62.11 ± 9.73;–;tumor vs. adjacent normal tissue;33;24, 9;62.11 ± 9.73;–;LC, GC;ESI, EI;both;LC: linear ion-trap, GC: single-quadrupole ;LC: MS/MS ;–;KEGG, HMDB;pheatmap 1.0.8, ggplot2 2.2.1, mixOmics 6.3.1, MetaboAnalyztR 0.0.0.9;paired two-sample t-test, PLS-DA;–;–;1,101424529;0,2709298448;0,3378926189;–;–;–;–;–;–;–;–;–;–;–;–;Spain;–;–;30099851;Moreno et al. 2018;4146;;
N6-acetyllysine;N6-acetyllysine;N6-acetyllysine;–;–;–;–;–;–;–;Amino Acid;Lysine Metabolism;–;tissue;therapy, diagnosis;squamous cell carcinoma;I, II, III;35;35, 0;68.71 ± 7.46;–;tumor vs. adjacent normal tissue;35;35, 0;68.71 ± 7.46;–;LC, GC;ESI, EI;both;LC: linear ion-trap, GC: single-quadrupole ;LC: MS/MS ;–;KEGG, HMDB;pheatmap 1.0.8, ggplot2 2.2.1, mixOmics 6.3.1, MetaboAnalyztR 0.0.0.9;paired two-sample t-test, PLS-DA;–;–;1,1009659937;0,3005953112;0,3412162992;–;–;–;–;–;–;–;–;–;–;–;–;Spain;–;–;30099851;Moreno et al. 2018;4147;;
adenosine 3',5'-diphosphate;adenosine 3',5'-diphosphate;adenosine 3',5'-diphosphate;–;–;–;–;–;–;–;Nucleotide;Purine Metabolism, Adenine containing;–;tissue;therapy, diagnosis;squamous cell carcinoma;I, II, III;35;35, 0;68.71 ± 7.46;–;tumor vs. adjacent normal tissue;35;35, 0;68.71 ± 7.46;–;LC, GC;ESI, EI;both;LC: linear ion-trap, GC: single-quadrupole ;LC: MS/MS ;–;KEGG, HMDB;pheatmap 1.0.8, ggplot2 2.2.1, mixOmics 6.3.1, MetaboAnalyztR 0.0.0.9;paired two-sample t-test, PLS-DA;–;–;1,1008047542;0,6635552788;0,6903743318;–;–;–;–;–;–;–;–;–;–;–;–;Spain;–;–;30099851;Moreno et al. 2018;4148;;
leucylhistidine;leucylhistidine;leucylhistidine;–;–;–;–;–;–;–;Peptide;Dipeptide;–;tissue;therapy, diagnosis;adenocarcinoma;I, II, III;33;24, 9;62.11 ± 9.73;–;tumor vs. adjacent normal tissue;33;24, 9;62.11 ± 9.73;–;LC, GC;ESI, EI;both;LC: linear ion-trap, GC: single-quadrupole ;LC: MS/MS ;–;KEGG, HMDB;pheatmap 1.0.8, ggplot2 2.2.1, mixOmics 6.3.1, MetaboAnalyztR 0.0.0.9;paired two-sample t-test, PLS-DA;–;–;1,100164927;0,0542107918;0,0840916018;–;–;–;–;–;–;–;–;–;–;–;–;Spain;–;–;30099851;Moreno et al. 2018;4149;;
arginine;arginine;arginine;–;–;–;HMDB0000517;–;–;–;Amino acid;"Urea cycle; arginine-, proline-, metabolism";–;tissue;therapy, diagnosis;adenocarcinoma;I, II, III;33;24, 9;62.11 ± 9.73;–;tumor vs. adjacent normal tissue;33;24, 9;62.11 ± 9.73;–;LC, GC;ESI, EI;both;LC: linear ion-trap, GC: single-quadrupole ;LC: MS/MS ;–;KEGG, HMDB;pheatmap 1.0.8, ggplot2 2.2.1, mixOmics 6.3.1, MetaboAnalyztR 0.0.0.9;paired two-sample t-test, PLS-DA;–;–;1,0981707182;0,2512504337;0,3198882803;–;–;–;–;–;–;–;–;–;–;–;–;Spain;–;–;30099851;Moreno et al. 2018;4150;;
glycylglycine;glycylglycine;glycylglycine;–;–;–;–;–;–;–;Peptide;Dipeptide;–;tissue;therapy, diagnosis;adenocarcinoma;I, II, III;33;24, 9;62.11 ± 9.73;–;tumor vs. adjacent normal tissue;33;24, 9;62.11 ± 9.73;–;LC, GC;ESI, EI;both;LC: linear ion-trap, GC: single-quadrupole ;LC: MS/MS ;–;KEGG, HMDB;pheatmap 1.0.8, ggplot2 2.2.1, mixOmics 6.3.1, MetaboAnalyztR 0.0.0.9;paired two-sample t-test, PLS-DA;–;–;1,0981387397;0,3678403911;0,4306184845;–;–;–;–;–;–;–;–;–;–;–;–;Spain;–;–;30099851;Moreno et al. 2018;4151;;
linoleate;linoleate;linoleate;(18:2n6);–;–;–;–;–;–;Lipid;Essential fatty acid;–;tissue;therapy, diagnosis;adenocarcinoma;I, II, III;33;24, 9;62.11 ± 9.73;–;tumor vs. adjacent normal tissue;33;24, 9;62.11 ± 9.73;–;LC, GC;ESI, EI;both;LC: linear ion-trap, GC: single-quadrupole ;LC: MS/MS ;–;KEGG, HMDB;pheatmap 1.0.8, ggplot2 2.2.1, mixOmics 6.3.1, MetaboAnalyztR 0.0.0.9;paired two-sample t-test, PLS-DA;–;–;1,0971711678;0,2513928399;0,3198882803;–;–;–;–;–;–;–;–;–;–;–;–;Spain;–;–;30099851;Moreno et al. 2018;4152;;
carnosine;carnosine;carnosine;–;–;–;–;–;–;–;Peptide;Dipeptide Derivative;–;tissue;therapy, diagnosis;squamous cell carcinoma;I, II, III;35;35, 0;68.71 ± 7.46;–;tumor vs. adjacent normal tissue;35;35, 0;68.71 ± 7.46;–;LC, GC;ESI, EI;both;LC: linear ion-trap, GC: single-quadrupole ;LC: MS/MS ;–;KEGG, HMDB;pheatmap 1.0.8, ggplot2 2.2.1, mixOmics 6.3.1, MetaboAnalyztR 0.0.0.9;paired two-sample t-test, PLS-DA;–;–;1,0949459858;0,542005392;0,5766937371;–;–;–;–;–;–;–;–;–;–;–;–;Spain;–;–;30099851;Moreno et al. 2018;4153;;
adenosine 5'-diphosphoribose;adenosine 5'-diphosphoribose;adenosine 5'-diphosphoribose;–;–;–;–;–;–;–;Cofactors and vitamins;Nicotinate and nicotinamide metabolism;–;tissue;therapy, diagnosis;adenocarcinoma;I, II, III;33;24, 9;62.11 ± 9.73;–;tumor vs. adjacent normal tissue;33;24, 9;62.11 ± 9.73;–;LC, GC;ESI, EI;both;LC: linear ion-trap, GC: single-quadrupole ;LC: MS/MS ;–;KEGG, HMDB;pheatmap 1.0.8, ggplot2 2.2.1, mixOmics 6.3.1, MetaboAnalyztR 0.0.0.9;paired two-sample t-test, PLS-DA;–;–;1,0948605514;0,572970624;0,6270639595;–;–;–;–;–;–;–;–;–;–;–;–;Spain;–;–;30099851;Moreno et al. 2018;4154;;
N6-acetyllysine;N6-acetyllysine;N6-acetyllysine;–;–;–;–;–;–;–;Amino acid;Lysine metabolism;–;tissue;therapy, diagnosis;adenocarcinoma;I, II, III;33;24, 9;62.11 ± 9.73;–;tumor vs. adjacent normal tissue;33;24, 9;62.11 ± 9.73;–;LC, GC;ESI, EI;both;LC: linear ion-trap, GC: single-quadrupole ;LC: MS/MS ;–;KEGG, HMDB;pheatmap 1.0.8, ggplot2 2.2.1, mixOmics 6.3.1, MetaboAnalyztR 0.0.0.9;paired two-sample t-test, PLS-DA;–;–;1,094529728;0,2877340198;0,3528358511;–;–;–;–;–;–;–;–;–;–;–;–;Spain;–;–;30099851;Moreno et al. 2018;4155;;
N-methylpipecolate;N-methylpipecolate;N-methylpipecolate;–;–;–;–;–;–;–;Xenobiotics;Chemical;–;tissue;therapy, diagnosis;squamous cell carcinoma;I, II, III;35;35, 0;68.71 ± 7.46;–;tumor vs. adjacent normal tissue;35;35, 0;68.71 ± 7.46;–;LC, GC;ESI, EI;both;LC: linear ion-trap, GC: single-quadrupole ;LC: MS/MS ;–;KEGG, HMDB;pheatmap 1.0.8, ggplot2 2.2.1, mixOmics 6.3.1, MetaboAnalyztR 0.0.0.9;paired two-sample t-test, PLS-DA;–;–;1,0933339751;0,0017493139;0,0027264697;–;–;–;–;–;–;–;–;–;–;–;–;Spain;–;–;30099851;Moreno et al. 2018;4156;;
gamma-tocopherol;gamma-tocopherol;gamma-tocopherol;–;–;–;–;–;–;–;Cofactors and Vitamins;Tocopherol Metabolism;–;tissue;therapy, diagnosis;squamous cell carcinoma;I, II, III;35;35, 0;68.71 ± 7.46;–;tumor vs. adjacent normal tissue;35;35, 0;68.71 ± 7.46;–;LC, GC;ESI, EI;both;LC: linear ion-trap, GC: single-quadrupole ;LC: MS/MS ;–;KEGG, HMDB;pheatmap 1.0.8, ggplot2 2.2.1, mixOmics 6.3.1, MetaboAnalyztR 0.0.0.9;paired two-sample t-test, PLS-DA;–;–;1,0917429224;0,479696366;0,5175748662;–;–;–;–;–;–;–;–;–;–;–;–;Spain;–;–;30099851;Moreno et al. 2018;4157;;
2-methylmalonyl carnitine;2-methylmalonyl carnitine;2-methylmalonyl carnitine;–;–;–;–;–;–;–;Lipid;Fatty Acid Synthesis;–;tissue;therapy, diagnosis;squamous cell carcinoma;I, II, III;35;35, 0;68.71 ± 7.46;–;tumor vs. adjacent normal tissue;35;35, 0;68.71 ± 7.46;–;LC, GC;ESI, EI;both;LC: linear ion-trap, GC: single-quadrupole ;LC: MS/MS ;–;KEGG, HMDB;pheatmap 1.0.8, ggplot2 2.2.1, mixOmics 6.3.1, MetaboAnalyztR 0.0.0.9;paired two-sample t-test, PLS-DA;–;–;1,0914380409;0,4143063192;0,4541434652;–;–;–;–;–;–;–;–;–;–;–;–;Spain;–;–;30099851;Moreno et al. 2018;4158;;
ophthalmate;ophthalmate;ophthalmate;–;–;–;–;–;–;–;Amino Acid;Glutathione Metabolism;–;tissue;therapy, diagnosis;squamous cell carcinoma;I, II, III;35;35, 0;68.71 ± 7.46;–;tumor vs. adjacent normal tissue;35;35, 0;68.71 ± 7.46;–;LC, GC;ESI, EI;both;LC: linear ion-trap, GC: single-quadrupole ;LC: MS/MS ;–;KEGG, HMDB;pheatmap 1.0.8, ggplot2 2.2.1, mixOmics 6.3.1, MetaboAnalyztR 0.0.0.9;paired two-sample t-test, PLS-DA;–;–;1,0910280326;0,5801162901;0,6123449729;–;–;–;–;–;–;–;–;–;–;–;–;Spain;–;–;30099851;Moreno et al. 2018;4159;;
linolenate;linolenate;linolenate;[alpha or gamma; (18:3n3 or 6)];–;–;–;–;–;–;Lipid;Polyunsaturated Fatty Acid (n3 and n6);–;tissue;therapy, diagnosis;squamous cell carcinoma;I, II, III;35;35, 0;68.71 ± 7.46;–;tumor vs. adjacent normal tissue;35;35, 0;68.71 ± 7.46;–;LC, GC;ESI, EI;both;LC: linear ion-trap, GC: single-quadrupole ;LC: MS/MS ;–;KEGG, HMDB;pheatmap 1.0.8, ggplot2 2.2.1, mixOmics 6.3.1, MetaboAnalyztR 0.0.0.9;paired two-sample t-test, PLS-DA;–;–;1,0890902674;0,3754333494;0,4161052956;–;–;–;–;–;–;–;–;–;–;–;–;Spain;–;–;30099851;4160;;
1-palmitoylglycerophosphoethanolamine;1-palmitoylglycerophosphoethanolamine;1-palmitoylglycerophosphoethanolamine;–;–;–;–;–;–;–;Lipid;Lysolipid;–;tissue;therapy, diagnosis;squamous cell carcinoma;I, II, III;35;35, 0;68.71 ± 7.46;–;tumor vs. adjacent normal tissue;35;35, 0;68.71 ± 7.46;–;LC, GC;ESI, EI;both;LC: linear ion-trap, GC: single-quadrupole ;LC: MS/MS ;–;KEGG, HMDB;pheatmap 1.0.8, ggplot2 2.2.1, mixOmics 6.3.1, MetaboAnalyztR 0.0.0.9;paired two-sample t-test, PLS-DA;–;–;1,0888949606;0,4120642536;0,45293013;–;–;–;–;–;–;–;–;–;–;–;–;Spain;–;–;30099851;Moreno et al. 2018;4161;;
xylonate;xylonate;xylonate;–;–;–;–;–;–;–;Carbohydrate;Nucleotide sugars, pentose metabolism;–;tissue;therapy, diagnosis;adenocarcinoma;I, II, III;33;24, 9;62.11 ± 9.73;–;tumor vs. adjacent normal tissue;33;24, 9;62.11 ± 9.73;–;LC, GC;ESI, EI;both;LC: linear ion-trap, GC: single-quadrupole ;LC: MS/MS ;–;KEGG, HMDB;pheatmap 1.0.8, ggplot2 2.2.1, mixOmics 6.3.1, MetaboAnalyztR 0.0.0.9;paired two-sample t-test, PLS-DA;–;–;1,0886706471;0,365621522;0,4291653694;–;–;–;–;–;–;–;–;–;–;–;–;Spain;–;–;30099851;Moreno et al. 2018;4162;;
